"","Date","Name","City","State","Rating","Product","Latitude","Longitude","Text","Row"
"1",42383.96,"A","Colorado","CO",1,"auto",39.250712384058,-105.292483266667,"I have been a USAA member for 17 years, only used for a windshield claim. Recently had a small accident and need transmission work done. In March of 2015, I moved from one state to another and purchased a new vehicle to do so. I called into USAA, got a quote with FULL coverage, when I moved, I changed my state of residency online and inadvertently changed my policy coverage by adding another coverage which in turn deselected automatically my collision. Yes, it is my fault but, I had a history of getting the quote with collision, had it in my previous state.  When I needed it I found it was not there. I ran my ""plea"" and concern all the way up to the CEO's office. DENIED. They told me... cited all the ""legal talk"". It's even USAA OWN policy that I am required to carry collision on a vehicle with a lien/loan and they failed to follow their own policy. They even sent an inspector/adjuster to look at the vehicle before they denied. BOTTOM LINE, USAA really does NOT care about the individual or providing ""customer service"" as the CEO states on his personal page on the USAA site. I will take all of my banking and insurance to another company. I suggest other do the same. SHAME SHAME SHAME on you USAA for not doing the right thing!!!",1
"2",41626.89,"A","Panama City","FL",1,"banking",30.2073552727273,-85.6903770909091,"Am currently trying to close a loan through USAA with one of my clients. The incompetence of their processors is truly amazing. Incorrect or lost documents. No response to calls or emails. Ignorance, yes ignorance, (there is not a better word to describe it) about the guidelines and process for a VA loan. No, we will not close on time. Yes, the family will most likely spend Christmas in a hotel due to their incompetence.",2
"3",42231.78,"A","Chapel Hill","NC",1,"auto",35.9650496,-79.0749866,"I have had USAA insurance for everything - auto, home, life - for more decades than I want to admit. Until recently, their rates and customer service were unbeatable. But two recent events have turned my opinion of them completely. My nephew (who is insured with Nationwide) was rear-ended in slow moving traffic (thank goodness!) on the interstate by a USAA-insured driver. His experience dealing with USAA to cover the repairs and arrange a rental while repairs were done was so abysmal that he finally just let Nationwide handle everything and recoup the costs from USAA - which eventually they did, but not without much back and forth by Nationwide. Then a few months later, I was also 'bumped' in the rear by a driver insured through another company. Working with USAA to get my bumper repaired has been a ridiculously time consuming nightmare. She did not want to file a claim, but I know our only two options were to call someone or call the police - and she did not want to call the police. So I said that I would call USAA and have her tell my insurance company what happened, taking responsibility for the charges, should they exceed what she wanted to pay out of pocket.  The USAA agent listened to her 'statement' and then told me that she was unable to make any notations unless I opened a claim. I asked if this would go against me and increased my rates - she said she didn't know. I finally asked for a supervisor who told me that since I had the other driver's name, license #, phone #, address and vehicle tag #, they would be able to recoup the charges and that the incident would not go against my record. So a claim was opened on my USAA account. Here are the key issues in working with USAA: The agent first hearing the statement was very uninformed - not able to answer questions accurately. The USAA agent ultimately assigned to my claim has been very informed, very nice, but getting in contact with her is a convoluted mess. I can only way to reach her by POSTING messages online! I cannot reply to emails from her - they are ""DO NOT REPLY"" messages that point me to the online thread. If I DO reply online, sometimes other uninformed agents pick up the thread and have taken actions not discussed with me or approved by me - like paying the body shop that provided the quote for the repairs from my policy BEFORE discussing with me. When I have tried to call, I have always gotten an agent who 'starts at the beginning' - one agent even started reading out loud from the first posted message on the online claim thread. When I interrupted her to say that I did not have time to listen to her catching up on my claim by reading all of the background to me out loud, she tersely said to ""please allow me to get informed about your claim!"" I told her study on her own time and either call me back or have the agent assigned to call me. The assigned agent called back 2 days later. USAA's new model of answering insured calls is not working. Their agents also seem to be a mixture of those were of the 'old guard' and know their business inside and out - which was the usual profile of customer service reps/agents in the past - plus a group of new people who are not only poorly informed, but who are rude. Unfortunately that may be in part due to customers like me who are stunned by the lack of knowledge and service and who get frustrated by their ineptitude and have little patience for the severe decline in service. I was one of those who would never consider leaving USAA, but never say never... I'm now researching other companies and will be moving all of our policies and other banking services from USAA.",3
"4",41733.83,"A","Dallas","TX",2,"banking",32.7856146141732,-96.7833528582677,"My entire paycheck 'randomly' placed on hold with no funds available from it at all. Called USAA and first guy tells me the check is hold because they're waiting for the payee's bank to send the funds back to them, and told me, ""If you don't want holds on your checks you should setup direct-deposit"", this after I had already mentioned the company I work for doesn't do direct-deposit. I started using the @store deposit at the UPS stores, because I don't trust sending them in through regular mail and the mobile app is not 100% reliable. The representative I spoke to 1st was rude, only provided short responses as if he could care less about my situation. It's the beginning of the month when rent/mortgage and other critical payments normally take place. Not only should they not place a hold for such an extended period of time, but also if any hold at all (usually 3 to 7 days) then middle of the month perhaps and make a percentage of the check available to us, account holders. Talked to 2 different representatives and got the same runaround. I've been a USAA customer for 23 years, and even though I've had previous holds (for 3 days and only for a portion of the check I've deposited), this is completely unacceptable. I will be closing my checking account with them after this hold is released.",4
"5",42281.08,"A","Ogden","UT",1,"credit",41.2398288461538,-111.968145384615,"Had a fraudulent charge against my MC card a year ago. Was out of the country at the time and couldn't/didn't challenge the charge in time. Had to suck it up but cancelled the card. I keep receiving bills for new charges, which I deny and reiterate the card has been cancelled. Again and again! Even in writing. No joy. Today, another charge for $300+ and, when I called to deny the charge, was told I had to pay. The supervisor wouldn't even give me his name for my record of the call. The company is totally, insanely incompetent and venal. Will invest in a lawyer Monday. Words to the wise, STEER CLEAR OF USAA CREDIT CARDS!!",5
"6",41150.51,"A","McLean","VA",1,"banking",38.9058505,-77.2268645,"I applied for a mortgage this spring and was pre-approved, though I knew my circumstances were a bit unusual. I had voluntarily taken a year off of work and so was technically unemployed when I applied, though I had signed a contract to begin employment again in four months' time, and I had more than enough in the bank for a down payment as well as excellent credit scores. I was thrilled to be pre-approved and assumed that sending in all the required paperwork was just a formality, and that there was no fear of not being ultimately approved.  I found my dream house, made an offer, a contract was signed, and everything was humming along smoothly (I thought) until two weeks before closing, when I was informed by USAA that I was not going to be approved because of my ""irregular"" employment history. They seem to have a policy excluding anyone who has been unemployed at all within the past two years. But it seems to me that if they truly do have this policy, they should never have pre-approved me in the first place, since I am obviously in violation of the policy and they knew it from the beginning. My mortgage processor's response, ""Oh, I guess I didn't realize you'd been unemployed for that long,"" even though I had sent a letter over a month before explaining my employment situation, at USAA's request! It is obvious that she just didn't read the letter and didn't really have any idea about my situation, though I had explained it to her multiple times and had sent a written explanation. The consequences were that I was not able to proceed with the purchase of the home I had already signed a contract for. More significantly for the sellers, they had already bought a new home and moved into it on the assumption that the closing would take place with no problems. So they ended up with two homes they were financially responsible for, and having to start all over again putting their home on the market. I have written a letter of complaint to USAA and submitted it exactly five times to date, with absolutely no response to it whatsoever. I am truly baffled at the entire situation; for a company with such a great reputation, the whole thing truly seems inexcusable. I would never recommend USAA to anyone, and in fact I am considering canceling my insurance policies with them.",6
"7",42854.54,"A. R.","Norfolk","VA",1,"credit",36.9047746,-76.25027552,"I am having a problem with a USAA credit card and fraud. They told me the card was cancelled. It was not, and they are reporting derogatory information to the credit bureaus. They are a big company and I am one little person. It is hard to fight them. You will feel the same way. Bottom Line: If you have a problem with fraud, they will say you did it and will not help you. Then, they will harass and bully you for something you don't owe. (Remember: They are a giant, we are little powerless people.) Yes, and they will try to ruin your credit for $35 (when your daughter is slated to attend college in the fall), give you the runaround, and transfer you to various departments unwilling and seemingly incapable of helping you. Extremely horrible customer service overall. (Wait... wait... a positive - my kids have little bank accounts with them and ATM cards. They love USAA. But they are kids, and most likely won't have a problem. (Well, my teenage daughter was charged ATM fees. She was upset, but I said to let it go). USAA will not do the same for you. When you have a problem, USAA sucks! I do not want to feel this way, but I have experienced it first hand.) I have never experienced such difficulty and runaround from a company. Honestly, they are actually the worst company of all time I have dealt with... honestly. I am truly flabbergasted at their appalling level of customer service. If you have any other options, do not choose USAA. Trust the reviews! Extremely Disheartened Customer:-(",7
"8",42734.19,"A. W.","Elgin","SC",1,"auto",34.1699,-80.81448,"I had an automobile accident which involved someone hitting me and they were in the wrong and admitted it, which is USAA's policyholder. It took over two weeks to get my car back. It has been such a horrible experience trying to get USAA to pay for the repairs and my claim is still open. All they continuously do is pass you off to different representatives within their department who give you the runaround. Not only that, my daughter was involved in an accident and USAA's policyholder was at fault in that one and we are getting the same thing. They are giving us the runaround in regards to getting her a rental and even getting the claims process started. And then we spoke to a representative named Wayne who turned out to be very sarcastic and nasty. Don't hold out any hope in their management team or their adjusters because they are even worst than the rest (they never return phone calls). Before this incident my other half suggested that we use this company for our own personal insurance and after this experience I told him I would rather pay a high premium with another company rather than giving my money to a company like this! We will be obtaining a lawyer as well because my claim nor my daughter's has been resolved as of yet and it's been almost over a month. This company has terrible business practices and they need to hire all new staff and adopt a new practice as to how to treat people. Run as fast as you can away from this company if you can!",8
"9",42413.2,"AARON","Baxley","GA",1,"life",31.743283,-82.3258285,"They not people friendly. They invited my needs and took their time getting to me when I called about my concerned and when they did get to me very rude people relation. I threaten to cancel my insurance lots.",9
"10",42281.6,"AARON","Hudson","NJ",5,"auto",40.3901586740838,-74.5149732133508,"They have been consistently amazing and good to my whole family. I cannot say enough good things about them. I even wound up switching over to using them exclusively for my banking and credit cards. They are fair and honest.",10
